date,category,magnitude,scope,metadata,regime,is_emergency
2010-01-27,fomc,0,US,,hold,False
2010-03-16,fomc,0,US,,hold,False
2010-04-28,fomc,0,US,,hold,False
2010-06-23,fomc,0,US,,hold,False
2010-08-10,fomc,0,US,,hold,False
2010-09-21,fomc,0,US,,hold,False
2010-11-03,fomc,0,US,,hold,False
2010-12-14,fomc,0,US,,hold,False
2011-01-26,fomc,0,US,,hold,False
2011-03-15,fomc,0,US,,hold,False
2011-04-27,fomc,0,US,,hold,False
2011-06-22,fomc,0,US,,hold,False
2011-08-09,fomc,0,US,,hold,False
2011-09-21,fomc,0,US,,hold,False
2011-11-02,fomc,0,US,,hold,False
2011-12-13,fomc,0,US,,hold,False
2012-01-25,fomc,0,US,,hold,False
2012-03-13,fomc,0,US,,hold,False
2012-04-25,fomc,0,US,,hold,False
2012-06-20,fomc,0,US,,hold,False
2012-08-01,fomc,0,US,,hold,False
2012-09-13,fomc,0,US,,hold,False
2012-10-24,fomc,0,US,,hold,False
2012-12-12,fomc,0,US,,hold,False
2013-01-30,fomc,0,US,,hold,False
2013-03-20,fomc,0,US,,hold,False
2013-05-01,fomc,0,US,,hold,False
2013-06-19,fomc,0,US,,hold,False
2013-07-31,fomc,0,US,,hold,False
2013-09-18,fomc,0,US,,hold,False
2013-10-30,fomc,0,US,,hold,False
2013-12-18,fomc,0,US,,hold,False
2014-01-29,fomc,0,US,,hold,False
2014-03-19,fomc,0,US,,hold,False
2014-04-30,fomc,0,US,,hold,False
2014-06-18,fomc,0,US,,hold,False
2014-07-30,fomc,0,US,,hold,False
2014-09-17,fomc,0,US,,hold,False
2014-10-29,fomc,0,US,,hold,False
2014-12-17,fomc,0,US,,hold,False
2015-01-28,fomc,0,US,,hold,False
2015-03-18,fomc,0,US,,hold,False
2015-04-29,fomc,0,US,,hold,False
2015-06-17,fomc,0,US,,hold,False
2015-07-29,fomc,0,US,,hold,False
2015-09-17,fomc,0,US,,hold,False
2015-10-28,fomc,0,US,,hold,False
2015-12-16,fomc,25,US,,tightening,False
2016-01-27,fomc,0,US,,tightening,False
2016-03-16,fomc,0,US,,tightening,False
2016-04-27,fomc,0,US,,tightening,False
2016-06-15,fomc,0,US,,tightening,False
2016-07-27,fomc,0,US,,tightening,False
2016-09-21,fomc,0,US,,tightening,False
2016-11-02,fomc,0,US,,tightening,False
2016-12-14,fomc,25,US,,tightening,False
2017-02-01,fomc,0,US,,tightening,False
2017-03-15,fomc,25,US,,tightening,False
2017-05-03,fomc,0,US,,tightening,False
2017-06-14,fomc,25,US,,tightening,False
2017-07-26,fomc,0,US,,tightening,False
2017-09-20,fomc,0,US,,tightening,False
2017-11-01,fomc,0,US,,tightening,False
2017-12-13,fomc,25,US,,tightening,False
2018-01-31,fomc,0,US,,tightening,False
2018-03-21,fomc,25,US,,tightening,False
2018-05-02,fomc,0,US,,tightening,False
2018-06-13,fomc,25,US,,tightening,False
2018-08-01,fomc,0,US,,tightening,False
2018-09-26,fomc,25,US,,tightening,False
2018-11-08,fomc,0,US,,tightening,False
2018-12-19,fomc,25,US,,tightening,False
2019-01-30,fomc,0,US,,hold,False
2019-03-20,fomc,0,US,,hold,False
2019-05-01,fomc,0,US,,hold,False
2019-06-19,fomc,0,US,,hold,False
2019-07-31,fomc,-25,US,,easing,False
2019-09-18,fomc,-25,US,,easing,False
2019-10-30,fomc,-25,US,,easing,False
2019-12-11,fomc,0,US,,easing,False
2020-01-29,fomc,0,US,,easing,False
2020-03-03,fomc,-50,US,"{""type"":""emergency""}",crisis,True
2020-03-15,fomc,-100,US,"{""type"":""emergency""}",crisis,True
2020-04-29,fomc,0,US,,hold,False
2020-06-10,fomc,0,US,,hold,False
2020-07-29,fomc,0,US,,hold,False
2020-09-16,fomc,0,US,,hold,False
2020-11-05,fomc,0,US,,hold,False
2020-12-16,fomc,0,US,,hold,False
2021-01-27,fomc,0,US,,hold,False
2021-03-17,fomc,0,US,,hold,False
2021-04-28,fomc,0,US,,hold,False
2021-06-16,fomc,0,US,,hold,False
2021-07-28,fomc,0,US,,hold,False
2021-09-22,fomc,0,US,,hold,False
2021-11-03,fomc,0,US,,hold,False
2021-12-15,fomc,0,US,,hold,False
2022-01-26,fomc,0,US,,hold,False
2022-03-16,fomc,25,US,,tightening,False
2022-05-04,fomc,50,US,,tightening,False
2022-06-15,fomc,75,US,,tightening,False
2022-07-27,fomc,75,US,,tightening,False
2022-09-21,fomc,75,US,,tightening,False
2022-11-02,fomc,75,US,,tightening,False
2022-12-14,fomc,50,US,,tightening,False
2023-02-01,fomc,25,US,,tightening,False
2023-03-22,fomc,25,US,,tightening,False
2023-05-03,fomc,25,US,,tightening,False
2023-06-14,fomc,25,US,,tightening,False
2023-07-26,fomc,25,US,,tightening,False
2023-09-20,fomc,0,US,,hold,False
2023-11-01,fomc,0,US,,hold,False
2023-12-13,fomc,0,US,,hold,False
2024-01-31,fomc,0,US,,hold,False
2024-03-20,fomc,0,US,,hold,False
2024-05-01,fomc,0,US,,hold,False
2024-06-12,fomc,0,US,,hold,False
2024-07-31,fomc,0,US,,hold,False
2024-09-18,fomc,-25,US,,easing,False
2024-11-07,fomc,-25,US,,easing,False
2024-12-18,fomc,-25,US,,easing,False
2025-01-29,fomc,0,US,,easing,False
2025-03-19,fomc,0,US,,easing,False
2025-05-07,fomc,0,US,,easing,False
2025-06-18,fomc,0,US,,easing,False
